Stormwater Gallons Saved,CO2 Avoided (in lbs.),kWh Saved,Therms Saved,Pollutants Saved (in lbs.),Property Benefits ($)
112.6,21.9,7.67,3.93,0.16,11.06
25.98,1.17,5.58,3.01,0.01,8.99
39.2,1.76,8.38,4.35,0.02,10.78
816.69,133.64,54.22,23.76,0.9,46.18
550.4,122.94,43.06,17.5,0.8,31.87
1743.34,277.54,112.61,43.37,1.86,26.38
24.95,0.68,3.22,1.55,0.01,28.81
293.93,12.56,59.71,23.54,0.13,38.69
147.63,6.4,30.4,15.1,0.07,13.66
1673.73,306.22,107.24,38.97,2.0,69.91
793.81,138.53,56.21,21.62,0.88,70.88
935.78,192.64,78.16,28.33,1.23,46.97
117.61,26.89,9.42,4.86,0.19,9.67
32.06,6.98,2.44,1.39,0.05,5.77
59.85,2.85,13.54,5.93,0.03,16.11
202.7,9.0,42.76,18.63,0.1,15.71
1106.39,233.6,81.81,27.91,1.41,38.11
1743.34,277.54,112.61,43.37,1.86,26.38
76.1,8.82,3.58,1.89,0.06,51.88
102.64,53.88,18.87,9.3,0.3,51.01
126.13,5.07,24.1,12.09,0.06,16.88
1419.78,251.19,101.92,36.9,1.6,31.76
180.17,7.4,35.19,16.18,0.08,27.05
197.38,22.74,7.96,4.03,0.16,51.82
525.48,101.68,41.25,18.76,0.71,30.4
2054.86,308.39,108.0,39.68,1.99,90.8
632.2,110.99,45.03,19.23,0.74,40.08
12.06,0.54,2.55,1.2,0.01,7.42
71.26,15.94,5.58,3.01,0.11,8.99
935.78,192.64,78.16,28.33,1.23,46.97
360.22,61.84,21.66,9.19,0.41,33.7
935.78,192.64,78.16,28.33,1.23,46.97
2711.96,256.18,170.46,60.66,1.84,53.33
1096.23,224.83,91.22,30.42,1.35,37.14
1266.23,246.85,100.16,35.06,1.58,60.14
440.36,12.61,59.91,19.45,0.17,26.76
376.46,16.44,78.16,28.33,0.17,46.97
396.59,128.65,45.05,20.82,0.76,66.29
338.46,53.48,18.73,7.57,0.35,43.07
525.48,101.68,41.25,18.76,0.71,30.4
86.49,3.58,17.0,8.42,0.04,16.99
117.61,26.89,9.42,4.86,0.19,9.67
77.22,2.27,10.81,5.0,0.03,33.3
534.81,85.61,34.74,15.36,0.58,42.94
194.04,78.62,27.53,13.29,0.45,56.15
4617.01,357.38,237.8,75.15,2.59,41.52
41.05,1.61,7.67,3.93,0.02,11.06
191.52,41.56,16.86,8.45,0.3,11.03
30.61,0.75,3.58,1.89,0.01,51.88
934.8,154.8,62.81,27.56,1.07,21.63
59.78,2.79,13.25,6.7,0.03,10.36
1530.38,247.87,100.57,35.15,1.54,49.54
1064.02,30.94,147.07,52.78,0.34,116.93
180.17,7.4,35.19,16.18,0.08,27.05
191.52,41.56,16.86,8.45,0.3,11.03
628.05,124.42,50.48,21.15,0.84,34.55
2509.39,312.23,126.69,47.02,2.09,90.34
650.11,25.14,119.48,41.48,0.25,57.43
71.26,15.94,5.58,3.01,0.11,8.99
2570.67,373.91,151.71,55.93,2.46,112.32
2643.08,341.4,138.52,51.59,2.33,44.62
610.21,22.56,107.24,38.97,0.24,69.91
2517.33,327.59,132.92,50.06,2.23,45.33
628.38,108.82,44.15,17.87,0.71,41.97
1391.52,255.59,103.7,37.02,1.66,65.02
632.2,110.99,45.03,19.23,0.74,40.08
1060.76,153.16,101.92,36.9,1.01,31.76
1063.04,126.48,84.16,32.94,0.88,63.26
557.3,18.95,90.08,33.06,0.2,47.91
852.42,145.2,96.61,33.11,0.94,55.25
509.47,19.75,93.87,31.5,0.19,85.16
1148.25,208.15,84.45,29.03,1.27,81.59
2405.06,360.27,146.18,53.15,2.34,109.33
1266.23,246.85,100.16,35.06,1.58,60.14
211.4,8.68,41.25,18.76,0.1,30.4
417.73,18.39,87.39,30.72,0.19,51.11
5522.13,547.49,222.14,72.2,3.8,46.66
571.18,21.44,101.92,36.9,0.22,31.76
1002.66,201.63,81.81,27.91,1.22,38.11
833.84,200.25,81.25,33.11,1.22,85.86
610.21,22.56,107.24,38.97,0.24,69.91
1140.93,238.12,96.61,33.11,1.49,55.25
447.86,86.73,35.19,16.18,0.61,27.05
734.12,130.2,52.83,22.57,0.87,42.2
1415.35,240.06,97.4,33.55,1.49,86.57
112.34,4.97,23.63,11.78,0.06,12.35
403.37,17.21,81.81,27.91,0.16,38.11
71.26,15.94,5.58,3.01,0.11,8.99
1743.34,277.54,112.61,43.37,1.86,0.01
236.88,9.04,42.94,19.07,0.1,20.62
1057.45,146.38,97.4,33.55,0.94,86.57
509.4,21.07,100.16,35.06,0.22,60.14
376.46,16.44,78.16,28.33,0.17,46.97
2599.96,332.16,134.77,51.04,2.28,52.64
1079.78,27.88,132.49,48.65,0.31,88.7
793.81,138.53,56.21,21.62,0.88,70.88
4875.47,507.56,205.93,68.89,3.51,50.4
6179.68,586.11,237.8,75.15,4.07,41.52
660.62,23.31,110.79,40.92,0.26,74.79
942.13,130.63,53.0,22.34,0.87,50.88
370.24,71.78,29.12,13.59,0.5,23.7
569.39,20.49,97.4,33.55,0.2,86.57
448.17,97.8,34.25,15.12,0.66,29.04
827.2,21.7,103.12,39.91,0.24,86.75
